Unexpected numbered line in billig_diagram.m at raw line 385: got 20, expected 342; appended as continuation
Unexpected numbered line in integrate_precooled_air_Cp.m at raw line 452: got 0, expected 31; appended as continuation
Unexpected numbered line in integrate_precooled_air_Cp.m at raw line 500: got 1, expected 76; appended as continuation
Unexpected numbered line in integrate_precooled_air_Cp.m at raw line 575: got 0, expected 140; appended as continuation
Unexpected numbered line in integrate_precooled_air_Cp.m at raw line 593: got 0, expected 155; appended as continuation
Unexpected numbered line in MachCalc2.m at raw line 766: got 101, expected 30; appended as continuation
Unexpected numbered line in HFntgrnd.m at raw line 929: got 0, expected 28; appended as continuation
Unexpected numbered line in billig_anim_3.m at raw line 1787: got 20, expected 475; appended as continuation
Unexpected numbered line in T_intermediate_calc_4.m at raw line 2897: got 0, expected 279; appended as continuation
Unexpected numbered line in liquefy_air.m at raw line 2965: got 1, expected 45; appended as continuation
Unexpected numbered line in liquefy_air.m at raw line 2976: got 0, expected 54; appended as continuation
Unexpected numbered line in gun_calc_SC_ideal.m at raw line 3474: got 9988, expected 157; appended as continuation
Unexpected numbered line in inlet_throat_plots_isentropic.m at raw line 4588: got 27, expected 17; appended as continuation
Unexpected numbered line in inlet_throat_plots_isentropic.m at raw line 4622: got 19, expected 45; appended as continuation
Unexpected numbered line in inlet_throat_plots_kantrowitz2.m at raw line 4686: got 27, expected 17; appended as continuation
Unexpected numbered line in inlet_throat_plots_kantrowitz2.m at raw line 4716: got 19, expected 43; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 5936: got 1, expected 217; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 5989: got 1, expected 261; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 6047: got 1, expected 308; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 6050: got 1, expected 309; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 6098: got 1, expected 346; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 6260: got 1, expected 474; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 6391: got 1, expected 562; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 6485: got 1, expected 631; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 6488: got 1, expected 632; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 6675: got 1, expected 771; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 6801: got 1, expected 855; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 6959: got 1, expected 945; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 6971: got 2, expected 953; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 7053: got 1, expected 1008; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 7058: got 1, expected 1010; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 7073: got 1, expected 1020; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 7089: got 1, expected 1029; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 7094: got 1, expected 1031; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 7129: got 1, expected 1054; appended as continuation
Unexpected numbered line in tm_plotter_25_curved_shock_intersection.m at raw line 7152: got 1, expected 1070; appended as continuation
Unexpected numbered line in TM_kantro12.m at raw line 7741: got 1, expected 73; appended as continuation
Unexpected numbered line in TM_kantro12.m at raw line 7754: got 19, expected 78; appended as continuation
Unexpected numbered line in convective_heat_flux.m at raw line 7865: got 1, expected 86; appended as continuation
Skipped cross-reference note before code in kantrowitz_hiroshima_ram_tube.m at raw line 7893: (See Coding Appendices CA5.a for Kantrowitz5.m CA5.e for r_throat_calc.m)
Unexpected numbered line in Busemann_toroid_7.m at raw line 8404: got 1, expected 182; appended as continuation
Unexpected numbered line in create_ring_of_boxes_7.m at raw line 10142: got 3, expected 376; appended as continuation
Unexpected numbered line in create_ring_of_boxes_7.m at raw line 10184: got 1, expected 414; appended as continuation
Unexpected numbered line in create_ring_of_boxes_7.m at raw line 10226: got 1, expected 452; appended as continuation
Unexpected numbered line in create_ring_of_boxes_7.m at raw line 10243: got 1, expected 467; appended as continuation
Unexpected numbered line in create_ring_of_boxes_7.m at raw line 10261: got 1, expected 482; appended as continuation
Unexpected numbered line in diff_view_factor_8.m at raw line 12987: got 0, expected 134; appended as continuation
Unexpected numbered line in diff_view_factor_8.m at raw line 13001: got 0, expected 146; appended as continuation
Unexpected numbered line in plot_Monte_Carlo_obstructed_view_factor_stuff.m at raw line 16767: got 1, expected 175; appended as continuation
Unexpected numbered line in plot_Monte_Carlo_obstructed_view_factor_stuff.m at raw line 16770: got 2, expected 176; appended as continuation
Unexpected numbered line in plot_Monte_Carlo_obstructed_view_factor_stuff.m at raw line 16773: got 3, expected 177; appended as continuation
